År,Måned,Kategori,Leverandør,Bestilt kvantum,Dato bestilt,Dato for motatt bestilling
2023,Oktober,Norske barnebøker,Forlagssentralen,286,2023-10-08,2023-11-25
2023,Oktober,Engelsk fiksjon,Ekstern leverandør,404,2023-10-05,2023-11-26
2023,November,Norske barnebøker,Forlagssentralen,361,2023-11-12,2023-12-27
2023,November,Engelsk fiksjon,Ekstern leverandør,317,2023-11-13,2023-12-22
2023,Desember,Norsk Krim,Forlagssentralen,464,2023-12-08,2023-13-24
2023,Desember,Norske barnebøker,Forlagssentralen,314,2023-12-11,2023-13-27
2023,Desember,Engelsk fiksjon,Ekstern leverandør,369,2023-12-01,2023-13-19
2024,Januar,Norsk Krim,Forlagssentralen,453,2024-01-04,2024-02-25
2024,Januar,Norske barnebøker,Forlagssentralen,389,2024-01-04,2024-02-18
2024,Januar,Engelsk fiksjon,Ekstern leverandør,382,2024-01-15,2024-02-20
2024,Mars,Norsk Krim,Forlagssentralen,500,2024-03-02,2024-04-24
2024,Mars,Norske barnebøker,Forlagssentralen,344,2024-03-13,2024-04-23
2024,Mars,Engelsk fiksjon,Ekstern leverandør,302,2024-03-07,2024-04-17
2024,April,Norsk Krim,Forlagssentralen,435,2024-04-09,2024-05-18
2024,April,Norske barnebøker,Forlagssentralen,363,2024-04-13,2024-05-23
2024,April,Engelsk fiksjon,Ekstern leverandør,397,2024-04-03,2024-05-23
2024,Mai,Norsk Krim,Forlagssentralen,487,2024-05-13,2024-06-22
2024,Mai,Norske barnebøker,Forlagssentralen,342,2024-05-03,2024-06-27
2024,Mai,Engelsk fiksjon,Ekstern leverandør,337,2024-05-09,2024-06-18
2024,Juni,Engelsk fiksjon,Ekstern leverandør,430,2024-06-05,2024-07-28
2024,Juli,Norsk Krim,Forlagssentralen,501,2024-07-01,2024-08-26
2024,Juli,Norske barnebøker,Forlagssentralen,387,2024-07-09,2024-08-23
2024,Juli,Engelsk fiksjon,Forlagssentralen,409,2024-07-14,2024-08-25
2024,August,Norsk Krim,Forlagssentralen,367,2024-08-07,2024-09-27
2024,August,Norske barnebøker,Forlagssentralen,342,2024-08-12,2024-09-20
2024,August,Engelsk fiksjon,Forlagssentralen,381,2024-08-06,2024-09-21
2024,September,Norsk Krim,Forlagssentralen,444,2024-09-03,2024-10-22
2024,September,Norske barnebøker,Forlagssentralen,299,2024-09-04,2024-10-22
2024,September,Engelsk fiksjon,Ekstern leverandør,336,2024-09-07,2024-10-19
2024,Oktober,Norsk Krim,Forlagssentralen,394,2024-10-15,2024-11-17
2024,Oktober,Norske barnebøker,Forlagssentralen,310,2024-10-07,2024-11-22
2024,Oktober,Engelsk fiksjon,Ekstern leverandør,406,2024-10-13,2024-11-22
2024,November,Norsk Krim,Forlagssentralen,464,2024-11-09,2024-12-16
2024,November,Norske barnebøker,Forlagssentralen,335,2024-11-13,2024-12-25
2024,Desember,Norsk Krim,Forlagssentralen,379,2024-12-08,2024-13-23
2024,Desember,Norske barnebøker,Forlagssentralen,400,2024-12-13,2024-13-25
2024,Desember,Engelsk fiksjon,Ekstern leverandør,350,2024-12-02,2024-13-23
2025,Januar,Norsk Krim,Forlagssentralen,350,2025-01-07,2025-02-20
2025,Januar,Norske barnebøker,Forlagssentralen,399,2025-01-14,2025-02-22
2025,Januar,Engelsk fiksjon,Ekstern leverandør,311,2025-01-13,2025-02-20
2025,Februar,Norsk Krim,Forlagssentralen,400,2025-02-12,2025-03-27
2025,Februar,Engelsk fiksjon,Ekstern leverandør,428,2025-02-14,2025-03-24
2025,Mars,Norsk Krim,Forlagssentralen,383,2025-03-04,2025-04-16
2025,Mars,Norske barnebøker,Forlagssentralen,311,2025-03-07,2025-04-23
2025,Mars,Engelsk fiksjon,Forlagssentralen,393,2025-03-04,2025-04-26
2025,April,Norsk Krim,Forlagssentralen,361,2025-04-06,2025-05-16
2025,April,Norske barnebøker,Forlagssentralen,374,2025-04-13,2025-05-22
2025,April,Engelsk fiksjon,Ekstern leverandør,365,2025-04-02,2025-05-28
2025,Mai,Norsk Krim,Forlagssentralen,378,2025-05-09,2025-06-17
2025,Mai,Norske barnebøker,Forlagssentralen,355,2025-05-15,2025-06-22
2025,Juni,Norsk Krim,Forlagssentralen,454,2025-06-11,2025-07-19
2025,Juni,Engelsk fiksjon,Forlagssentralen,354,2025-06-07,2025-07-18
2025,Juli,Norsk Krim,Forlagssentralen,454,2025-07-10,2025-08-17
2025,Juli,Norske barnebøker,Forlagssentralen,305,2025-07-05,2025-08-22
2025,Juli,Engelsk fiksjon,Ekstern leverandør,431,2025-07-10,2025-08-26
2025,August,Norsk Krim,Forlagssentralen,449,2025-08-06,2025-09-20
2025,August,Norske barnebøker,Forlagssentralen,326,2025-08-13,2025-09-22
2025,August,Engelsk fiksjon,Ekstern leverandør,396,2025-08-08,2025-09-20
2025,September,Norsk Krim,Forlagssentralen,373,2025-09-11,2025-10-20
2025,September,Norske barnebøker,Forlagssentralen,346,2025-09-12,2025-10-24
2025,September,Engelsk fiksjon,Ekstern leverandør,366,2025-09-06,2025-10-25
2025,Oktober,Norsk Krim,Forlagssentralen,352,2025-10-10,2025-11-25
2025,Oktober,Norske barnebøker,Forlagssentralen,311,2025-10-02,2025-11-28
2025,November,Norsk Krim,Forlagssentralen,373,2025-11-06,2025-12-17
2025,November,Norske barnebøker,Forlagssentralen,308,2025-11-01,2025-12-25
2025,November,Engelsk fiksjon,Forlagssentralen,336,2025-11-10,2025-12-21
2025,Desember,Norsk Krim,Forlagssentralen,400,2025-12-08,2025-13-24
2025,Desember,Norske barnebøker,Forlagssentralen,346,2025-12-02,2025-13-25
2025,Desember,Engelsk fiksjon,Ekstern leverandør,359,2025-12-01,2025-13-25
