År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn,Kategori,Dato_Sortering,Kostnad_Lagerkostnad,Kostnad_Stockout-kostnad,Bestilt_kvantum,Dato_bestilt,Dato_mottatt,Leverandør_navn,Supp_Ledetid (dager),Supp_Ledetid varians,Supp_Kapasitet (maks/måned),Supp_Enhetspris,Supp_Fast bestillingskostnad,Supp_Risiko (stockout),Supp_Transportkostnad
2022,September,338,339,330,9,0,8,Engelsk fiksjon,2022-09-01,10,120,322,2022-09-10,2022-10-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,Oktober,322,432,315,117,0,7,Engelsk fiksjon,2022-10-01,10,120,389,2022-10-10,2022-11-19,Forlagssentralen,5,Middels,500,210,300,Lav,20
2022,November,389,300,300,0,81,8,Engelsk fiksjon,2022-11-01,10,120,346,2022-11-10,2022-12-16,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2022,Desember,427,344,344,0,73,10,Engelsk fiksjon,2022-12-01,10,120,394,2022-12-05,2022-13-26,Forlagssentralen,5,Middels,500,210,300,Lav,20
2023,Januar,467,322,322,0,135,10,Engelsk fiksjon,2023-01-01,10,120,389,2023-01-05,2023-02-16,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,Februar,524,285,285,0,226,13,Engelsk fiksjon,2023-02-01,10,120,311,2023-02-04,2023-03-20,Forlagssentralen,5,Middels,500,210,300,Lav,20
2023,Mars,537,316,316,0,207,14,Engelsk fiksjon,2023-03-01,10,120,334,2023-03-03,2023-04-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,April,541,206,206,0,324,11,Engelsk fiksjon,2023-04-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2023,Mai,324,358,316,42,0,8,Engelsk fiksjon,2023-05-01,10,120,370,2023-05-05,2023-06-27,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,Juni,370,398,362,36,0,8,Engelsk fiksjon,2023-06-01,10,120,312,2023-06-01,2023-07-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,Juli,312,508,304,204,0,8,Engelsk fiksjon,2023-07-01,10,120,388,2023-07-01,2023-08-28,Forlagssentralen,5,Middels,500,210,300,Lav,20
2023,August,388,276,276,0,104,8,Engelsk fiksjon,2023-08-01,10,120,371,2023-08-11,2023-09-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,September,475,370,370,0,94,11,Engelsk fiksjon,2023-09-01,10,120,371,2023-09-07,2023-10-21,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,Oktober,465,289,289,0,166,10,Engelsk fiksjon,2023-10-01,10,120,404,2023-10-05,2023-11-26,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,November,570,427,427,0,130,13,Engelsk fiksjon,2023-11-01,10,120,317,2023-11-13,2023-12-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2023,Desember,447,385,385,0,51,11,Engelsk fiksjon,2023-12-01,10,120,369,2023-12-01,2023-13-19,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,Januar,420,179,179,0,231,10,Engelsk fiksjon,2024-01-01,10,120,382,2024-01-15,2024-02-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,Februar,613,255,255,0,343,15,Engelsk fiksjon,2024-02-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2024,Mars,343,447,336,111,0,7,Engelsk fiksjon,2024-03-01,10,120,302,2024-03-07,2024-04-17,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,April,302,458,294,164,0,8,Engelsk fiksjon,2024-04-01,10,120,397,2024-04-03,2024-05-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,Mai,397,393,388,5,0,9,Engelsk fiksjon,2024-05-01,10,120,337,2024-05-09,2024-06-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,Juni,337,328,328,0,0,9,Engelsk fiksjon,2024-06-01,10,120,430,2024-06-05,2024-07-28,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,Juli,430,442,420,22,0,10,Engelsk fiksjon,2024-07-01,10,120,409,2024-07-14,2024-08-25,Forlagssentralen,5,Middels,500,210,300,Lav,20
2024,August,409,314,314,0,85,10,Engelsk fiksjon,2024-08-01,10,120,381,2024-08-06,2024-09-21,Forlagssentralen,5,Middels,500,210,300,Lav,20
2024,September,466,251,251,0,205,10,Engelsk fiksjon,2024-09-01,10,120,336,2024-09-07,2024-10-19,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,Oktober,541,293,293,0,236,12,Engelsk fiksjon,2024-10-01,10,120,406,2024-10-13,2024-11-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2024,November,642,224,224,0,401,17,Engelsk fiksjon,2024-11-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2024,Desember,401,518,393,125,0,8,Engelsk fiksjon,2024-12-01,10,120,350,2024-12-02,2024-13-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,Januar,350,523,342,181,0,8,Engelsk fiksjon,2025-01-01,10,120,311,2025-01-13,2025-02-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,Februar,311,372,303,69,0,8,Engelsk fiksjon,2025-02-01,10,120,428,2025-02-14,2025-03-24,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,Mars,428,263,263,0,154,11,Engelsk fiksjon,2025-03-01,10,120,393,2025-03-04,2025-04-26,Forlagssentralen,5,Middels,500,210,300,Lav,20
2025,April,547,373,373,0,162,12,Engelsk fiksjon,2025-04-01,10,120,365,2025-04-02,2025-05-28,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,Mai,527,245,245,0,269,13,Engelsk fiksjon,2025-05-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2025,Juni,269,252,252,0,12,5,Engelsk fiksjon,2025-06-01,10,120,354,2025-06-07,2025-07-18,Forlagssentralen,5,Middels,500,210,300,Lav,20
2025,Juli,366,439,358,81,0,8,Engelsk fiksjon,2025-07-01,10,120,431,2025-07-10,2025-08-26,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,August,431,479,420,59,0,11,Engelsk fiksjon,2025-08-01,10,120,396,2025-08-08,2025-09-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,September,396,270,270,0,117,9,Engelsk fiksjon,2025-09-01,10,120,366,2025-09-06,2025-10-25,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2025,Oktober,483,195,195,0,276,12,Engelsk fiksjon,2025-10-01,10,120,0,,,,5,Middels,500,210,300,Lav,20
2025,November,276,287,269,18,0,7,Engelsk fiksjon,2025-11-01,10,120,336,2025-11-10,2025-12-21,Forlagssentralen,5,Middels,500,210,300,Lav,20
2025,Desember,336,382,327,55,0,9,Engelsk fiksjon,2025-12-01,10,120,359,2025-12-01,2025-13-25,Ekstern leverandør,8,Lav,1200,135,600,Middels,120
2021,Januar,500,293,293,0,204,3,Norsk krim,2021-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Februar,578,276,276,0,298,4,Norsk krim,2021-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Mars,298,280,280,0,16,2,Norsk krim,2021-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,April,404,324,324,0,78,2,Norsk krim,2021-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Mai,553,326,326,0,224,3,Norsk krim,2021-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Juni,707,386,386,0,317,4,Norsk krim,2021-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Juli,317,439,315,124,0,2,Norsk krim,2021-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,August,366,427,364,63,0,2,Norsk krim,2021-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,September,396,342,342,0,51,3,Norsk krim,2021-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Oktober,498,342,342,0,153,3,Norsk krim,2021-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,November,604,341,341,0,260,3,Norsk krim,2021-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Desember,760,471,471,0,285,4,Norsk krim,2021-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Januar,285,254,254,0,30,1,Norsk krim,2022-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Februar,417,303,303,0,111,3,Norsk krim,2022-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Mars,473,303,303,0,167,3,Norsk krim,2022-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,April,690,338,338,0,348,4,Norsk krim,2022-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Mai,348,340,340,0,6,2,Norsk krim,2022-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Juni,500,331,331,0,166,3,Norsk krim,2022-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Juli,553,437,437,0,113,3,Norsk krim,2022-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,August,543,455,455,0,85,3,Norsk krim,2022-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,September,529,331,331,0,195,3,Norsk krim,2022-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Oktober,634,363,363,0,268,3,Norsk krim,2022-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,November,645,313,313,0,328,4,Norsk krim,2022-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2022,Desember,328,442,326,116,0,2,Norsk krim,2022-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Januar,443,306,306,0,134,3,Norsk krim,2023-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Februar,619,281,281,0,335,3,Norsk krim,2023-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Mars,335,333,333,0,0,2,Norsk krim,2023-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,April,396,352,352,0,42,2,Norsk krim,2023-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Mai,544,351,351,0,190,3,Norsk krim,2023-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Juni,634,388,388,0,242,4,Norsk krim,2023-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Juli,649,516,516,0,129,4,Norsk krim,2023-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,August,521,403,403,0,115,3,Norsk krim,2023-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,September,593,407,407,0,183,3,Norsk krim,2023-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Oktober,616,350,350,0,263,3,Norsk krim,2023-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,November,687,338,338,0,345,4,Norsk krim,2023-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2023,Desember,345,444,343,101,0,2,Norsk krim,2023-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Januar,464,299,299,0,163,2,Norsk krim,2024-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Februar,616,307,307,0,306,3,Norsk krim,2024-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Mars,306,375,304,71,0,2,Norsk krim,2024-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,April,500,375,375,0,122,3,Norsk krim,2024-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Mai,557,368,368,0,186,3,Norsk krim,2024-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Juni,673,341,341,0,328,4,Norsk krim,2024-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Juli,328,499,326,173,0,2,Norsk krim,2024-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,August,501,454,454,0,44,3,Norsk krim,2024-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,September,411,351,351,0,58,2,Norsk krim,2024-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Oktober,502,410,410,0,89,3,Norsk krim,2024-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,November,483,292,292,0,188,3,Norsk krim,2024-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2024,Desember,652,517,517,0,131,4,Norsk krim,2024-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Januar,510,332,332,0,175,3,Norsk krim,2025-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Februar,525,335,335,0,187,3,Norsk krim,2025-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Mars,587,382,382,0,201,4,Norsk krim,2025-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,April,584,365,365,0,216,3,Norsk krim,2025-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Mai,577,417,417,0,156,4,Norsk krim,2025-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Juni,534,416,416,0,115,3,Norsk krim,2025-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Juli,569,430,430,0,136,3,Norsk krim,2025-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,August,590,485,485,0,102,3,Norsk krim,2025-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,September,551,402,402,0,146,3,Norsk krim,2025-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Oktober,519,413,413,0,103,3,Norsk krim,2025-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,November,455,362,362,0,91,2,Norsk krim,2025-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2025,Desember,464,508,461,47,0,3,Norsk krim,2025-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15
2021,Januar,400,227,227,0,160,13,Norske barnebøker,2021-01-01,6,75,354,2021-01-11,2021-02-24,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,Februar,514,187,187,0,313,14,Norske barnebøker,2021-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2021,Mars,313,218,218,0,87,8,Norske barnebøker,2021-03-01,6,75,405,2021-03-12,2021-04-24,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,April,492,210,210,0,269,13,Norske barnebøker,2021-04-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2021,Mai,269,277,262,15,0,7,Norske barnebøker,2021-05-01,6,75,369,2021-05-05,2021-06-24,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,Juni,369,314,314,0,44,11,Norske barnebøker,2021-06-01,6,75,293,2021-06-07,2021-07-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,Juli,337,376,328,48,0,9,Norske barnebøker,2021-07-01,6,75,303,2021-07-08,2021-08-24,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,August,303,331,294,37,0,9,Norske barnebøker,2021-08-01,6,75,281,2021-08-02,2021-09-27,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,September,281,311,272,39,0,9,Norske barnebøker,2021-09-01,6,75,357,2021-09-07,2021-10-18,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,Oktober,357,248,248,0,100,9,Norske barnebøker,2021-10-01,6,75,406,2021-10-13,2021-11-16,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,November,506,270,270,0,222,14,Norske barnebøker,2021-11-01,6,75,330,2021-11-09,2021-12-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2021,Desember,552,357,357,0,177,18,Norske barnebøker,2021-12-01,6,75,302,2021-12-15,2021-13-19,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Januar,479,291,291,0,173,15,Norske barnebøker,2022-01-01,6,75,283,2022-01-12,2022-02-21,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Februar,456,169,169,0,273,14,Norske barnebøker,2022-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2022,Mars,273,220,220,0,45,8,Norske barnebøker,2022-03-01,6,75,317,2022-03-13,2022-04-27,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,April,362,292,292,0,61,9,Norske barnebøker,2022-04-01,6,75,400,2022-04-04,2022-05-19,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Mai,461,297,297,0,151,13,Norske barnebøker,2022-05-01,6,75,311,2022-05-11,2022-06-19,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Juni,462,271,271,0,178,13,Norske barnebøker,2022-06-01,6,75,401,2022-06-13,2022-07-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Juli,579,336,336,0,226,17,Norske barnebøker,2022-07-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2022,August,226,355,219,136,0,7,Norske barnebøker,2022-08-01,6,75,411,2022-08-02,2022-09-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,September,411,317,317,0,83,11,Norske barnebøker,2022-09-01,6,75,364,2022-09-06,2022-10-27,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Oktober,447,336,336,0,97,14,Norske barnebøker,2022-10-01,6,75,365,2022-10-09,2022-11-17,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,November,462,230,230,0,220,12,Norske barnebøker,2022-11-01,6,75,341,2022-11-09,2022-12-28,Forlagssentralen,3,Lav,600,145,250,Lav,15
2022,Desember,561,397,397,0,148,16,Norske barnebøker,2022-12-01,6,75,412,2022-12-12,2022-13-26,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,Januar,560,253,253,0,289,18,Norske barnebøker,2023-01-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2023,Februar,289,258,258,0,22,9,Norske barnebøker,2023-02-01,6,75,324,2023-02-14,2023-03-17,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,Mars,346,254,254,0,83,9,Norske barnebøker,2023-03-01,6,75,326,2023-03-12,2023-04-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,April,409,250,250,0,147,12,Norske barnebøker,2023-04-01,6,75,339,2023-04-07,2023-05-26,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,Mai,486,288,288,0,184,14,Norske barnebøker,2023-05-01,6,75,357,2023-05-01,2023-06-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,Juni,541,285,285,0,241,15,Norske barnebøker,2023-06-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2023,Juli,241,327,234,93,0,7,Norske barnebøker,2023-07-01,6,75,342,2023-07-11,2023-08-19,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,August,342,348,332,16,0,10,Norske barnebøker,2023-08-01,6,75,304,2023-08-02,2023-09-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,September,304,250,250,0,46,8,Norske barnebøker,2023-09-01,6,75,374,2023-09-04,2023-10-28,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,Oktober,420,271,271,0,138,11,Norske barnebøker,2023-10-01,6,75,286,2023-10-08,2023-11-25,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,November,424,267,267,0,145,12,Norske barnebøker,2023-11-01,6,75,361,2023-11-12,2023-12-27,Forlagssentralen,3,Lav,600,145,250,Lav,15
2023,Desember,506,368,368,0,124,14,Norske barnebøker,2023-12-01,6,75,314,2023-12-11,2023-13-27,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,Januar,438,293,293,0,132,13,Norske barnebøker,2024-01-01,6,75,389,2024-01-04,2024-02-18,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,Februar,521,234,234,0,271,16,Norske barnebøker,2024-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2024,Mars,271,251,251,0,12,8,Norske barnebøker,2024-03-01,6,75,344,2024-03-13,2024-04-23,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,April,356,247,247,0,98,11,Norske barnebøker,2024-04-01,6,75,363,2024-04-13,2024-05-23,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,Mai,461,257,257,0,191,13,Norske barnebøker,2024-05-01,6,75,342,2024-05-03,2024-06-27,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,Juni,533,277,277,0,239,17,Norske barnebøker,2024-06-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2024,Juli,239,320,232,88,0,7,Norske barnebøker,2024-07-01,6,75,387,2024-07-09,2024-08-23,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,August,387,350,350,0,26,11,Norske barnebøker,2024-08-01,6,75,342,2024-08-12,2024-09-20,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,September,368,295,295,0,61,12,Norske barnebøker,2024-09-01,6,75,299,2024-09-04,2024-10-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,Oktober,360,303,303,0,46,11,Norske barnebøker,2024-10-01,6,75,310,2024-10-07,2024-11-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,November,356,248,248,0,99,9,Norske barnebøker,2024-11-01,6,75,335,2024-11-13,2024-12-25,Forlagssentralen,3,Lav,600,145,250,Lav,15
2024,Desember,434,409,409,0,11,14,Norske barnebøker,2024-12-01,6,75,400,2024-12-13,2024-13-25,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,Januar,411,247,247,0,153,11,Norske barnebøker,2025-01-01,6,75,399,2025-01-14,2025-02-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,Februar,552,237,237,0,299,16,Norske barnebøker,2025-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2025,Mars,299,260,260,0,30,9,Norske barnebøker,2025-03-01,6,75,311,2025-03-07,2025-04-23,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,April,341,230,230,0,102,9,Norske barnebøker,2025-04-01,6,75,374,2025-04-13,2025-05-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,Mai,476,286,286,0,175,15,Norske barnebøker,2025-05-01,6,75,355,2025-05-15,2025-06-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,Juni,530,257,257,0,257,16,Norske barnebøker,2025-06-01,6,75,0,,,,3,Lav,600,145,250,Lav,15
2025,Juli,257,363,250,113,0,7,Norske barnebøker,2025-07-01,6,75,305,2025-07-05,2025-08-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,August,305,330,297,33,0,8,Norske barnebøker,2025-08-01,6,75,326,2025-08-13,2025-09-22,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,September,326,284,284,0,33,9,Norske barnebøker,2025-09-01,6,75,346,2025-09-12,2025-10-24,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,Oktober,379,349,349,0,20,10,Norske barnebøker,2025-10-01,6,75,311,2025-10-02,2025-11-28,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,November,331,274,274,0,49,8,Norske barnebøker,2025-11-01,6,75,308,2025-11-01,2025-12-25,Forlagssentralen,3,Lav,600,145,250,Lav,15
2025,Desember,357,383,348,35,0,9,Norske barnebøker,2025-12-01,6,75,346,2025-12-02,2025-13-25,Forlagssentralen,3,Lav,600,145,250,Lav,15
