År,Måned,Startlager,Etterspørsel,Salg,Restordre (stockout),Sluttlager,Svinn,Kategori,Dato_Sortering,Kostnad_Lagerkostnad,Kostnad_Stockout-kostnad,Bestilt_kvantum,Dato_bestilt,Dato_mottatt,Leverandør_navn,Supp_Ledetid (dager),Supp_Ledetid varians,Supp_Kapasitet (maks/måned),Supp_Enhetspris,Supp_Fast bestillingskostnad,Supp_Risiko (stockout),Supp_Transportkostnad,month,monthly_mean,monthly_std,z_score,Er_Kampanje
2022,April,408,231,231,0,167,10,Engelsk fiksjon,2022-04-01,10,120,332,2022-04-08,2022-05-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,4,313.2,103.70969096473097,-0.7925970971020839,False
2022,Mai,499,282,282,0,206,11,Engelsk fiksjon,2022-05-01,10,120,344,2022-05-06,2022-06-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,5,347.6,86.07148192055253,-0.7621572039453379,False
2022,Juni,550,128,128,0,409,13,Engelsk fiksjon,2022-06-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,6,341.4,176.28613104836126,-1.210531984172125,False
2022,Juli,409,528,399,129,0,10,Engelsk fiksjon,2022-07-01,10,120,315,2022-07-01,2022-08-25,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,7,455.4,66.30837051232672,1.0948843930119454,False
2022,August,315,381,308,73,0,7,Engelsk fiksjon,2022-08-01,10,120,338,2022-08-14,2022-09-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,8,345.0,86.42048368297877,0.41656790688722445,False
2022,September,338,339,330,9,0,8,Engelsk fiksjon,2022-09-01,10,120,322,2022-09-10,2022-10-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,9,315.6,51.983651276146425,0.45014152383592687,False
2022,Oktober,322,432,315,117,0,7,Engelsk fiksjon,2022-10-01,10,120,389,2022-10-10,2022-11-19,Forlagssentralen,5,Middels,500,210,300,Lav,20,10,292.8,87.15618165110264,1.5971328408722105,True
2022,November,389,300,300,0,81,8,Engelsk fiksjon,2022-11-01,10,120,346,2022-11-10,2022-12-16,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,11,302.6,75.27482979057476,-0.03454009802790111,False
2022,Desember,427,344,344,0,73,10,Engelsk fiksjon,2022-12-01,10,120,394,2022-12-05,2022-13-26,Forlagssentralen,5,Middels,500,210,300,Lav,20,12,418.6,70.66682389919615,-1.055658028531386,False
2023,Januar,467,322,322,0,135,10,Engelsk fiksjon,2023-01-01,10,120,389,2023-01-05,2023-02-16,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,1,321.8,128.48618602791507,0.001556587569316879,False
2023,Februar,524,285,285,0,226,13,Engelsk fiksjon,2023-02-01,10,120,311,2023-02-04,2023-03-20,Forlagssentralen,5,Middels,500,210,300,Lav,20,2,276.0,59.3000843169721,0.15177044187480418,False
2023,Mars,537,316,316,0,207,14,Engelsk fiksjon,2023-03-01,10,120,334,2023-03-03,2023-04-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,3,328.4,72.27931931057458,-0.17155667925868026,False
2023,April,541,206,206,0,324,11,Engelsk fiksjon,2023-04-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,4,313.2,103.70969096473097,-1.0336546083861728,False
2023,Mai,324,358,316,42,0,8,Engelsk fiksjon,2023-05-01,10,120,370,2023-05-05,2023-06-27,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,5,347.6,86.07148192055253,0.1208298006254801,False
2023,Juni,370,398,362,36,0,8,Engelsk fiksjon,2023-06-01,10,120,312,2023-06-01,2023-07-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,6,341.4,176.28613104836126,0.3210689330091017,False
2023,Juli,312,508,304,204,0,8,Engelsk fiksjon,2023-07-01,10,120,388,2023-07-01,2023-08-28,Forlagssentralen,5,Middels,500,210,300,Lav,20,7,455.4,66.30837051232672,0.7932633481050735,False
2023,August,388,276,276,0,104,8,Engelsk fiksjon,2023-08-01,10,120,371,2023-08-11,2023-09-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,8,345.0,86.42048368297877,-0.7984218215338469,False
2023,September,475,370,370,0,94,11,Engelsk fiksjon,2023-09-01,10,120,371,2023-09-07,2023-10-21,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,9,315.6,51.983651276146425,1.0464828588322408,False
2023,Oktober,465,289,289,0,166,10,Engelsk fiksjon,2023-10-01,10,120,404,2023-10-05,2023-11-26,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,10,292.8,87.15618165110264,-0.043599890770936914,False
2023,November,570,427,427,0,130,13,Engelsk fiksjon,2023-11-01,10,120,317,2023-11-13,2023-12-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,11,302.6,75.27482979057476,1.6526108441041767,True
2023,Desember,447,385,385,0,51,11,Engelsk fiksjon,2023-12-01,10,120,369,2023-12-01,2023-13-19,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,12,418.6,70.66682389919615,-0.47547064019644203,False
2024,Januar,420,179,179,0,231,10,Engelsk fiksjon,2024-01-01,10,120,382,2024-01-15,2024-02-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,1,321.8,128.48618602791507,-1.1114035244923148,False
2024,Februar,613,255,255,0,343,15,Engelsk fiksjon,2024-02-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,2,276.0,59.3000843169721,-0.35413103104120974,False
2024,Mars,343,447,336,111,0,7,Engelsk fiksjon,2024-03-01,10,120,302,2024-03-07,2024-04-17,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,3,328.4,72.27931931057458,1.6408566258128645,True
2024,April,302,458,294,164,0,8,Engelsk fiksjon,2024-04-01,10,120,397,2024-04-03,2024-05-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,4,313.2,103.70969096473097,1.3962051053574427,False
2024,Mai,397,393,388,5,0,9,Engelsk fiksjon,2024-05-01,10,120,337,2024-05-09,2024-06-18,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,5,347.6,86.07148192055253,0.5274685527304621,False
2024,Juni,337,328,328,0,0,9,Engelsk fiksjon,2024-06-01,10,120,430,2024-06-05,2024-07-28,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,6,341.4,176.28613104836126,-0.07601278626010519,False
2024,Juli,430,442,420,22,0,10,Engelsk fiksjon,2024-07-01,10,120,409,2024-07-14,2024-08-25,Forlagssentralen,5,Middels,500,210,300,Lav,20,7,455.4,66.30837051232672,-0.20208610008760386,False
2024,August,409,314,314,0,85,10,Engelsk fiksjon,2024-08-01,10,120,381,2024-08-06,2024-09-21,Forlagssentralen,5,Middels,500,210,300,Lav,20,8,345.0,86.42048368297877,-0.3587112531528877,False
2024,September,466,251,251,0,205,10,Engelsk fiksjon,2024-09-01,10,120,336,2024-09-07,2024-10-19,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,9,315.6,51.983651276146425,-1.242698394863287,False
2024,Oktober,541,293,293,0,236,12,Engelsk fiksjon,2024-10-01,10,120,406,2024-10-13,2024-11-22,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,10,292.8,87.15618165110264,0.0022947310932070687,False
2024,November,642,224,224,0,401,17,Engelsk fiksjon,2024-11-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,11,302.6,75.27482979057476,-1.044173732689617,False
2024,Desember,401,518,393,125,0,8,Engelsk fiksjon,2024-12-01,10,120,350,2024-12-02,2024-13-23,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,12,418.6,70.66682389919615,1.4066006439144731,False
2025,Januar,350,523,342,181,0,8,Engelsk fiksjon,2025-01-01,10,120,311,2025-01-13,2025-02-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,1,321.8,128.48618602791507,1.565927094732869,True
2025,Februar,311,372,303,69,0,8,Engelsk fiksjon,2025-02-01,10,120,428,2025-02-14,2025-03-24,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,2,276.0,59.3000843169721,1.6188847133312445,True
2025,Mars,428,263,263,0,154,11,Engelsk fiksjon,2025-03-01,10,120,393,2025-03-04,2025-04-26,Forlagssentralen,5,Middels,500,210,300,Lav,20,3,328.4,72.27931931057458,-0.9048231309288473,False
2025,April,547,373,373,0,162,12,Engelsk fiksjon,2025-04-01,10,120,365,2025-04-02,2025-05-28,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,4,313.2,103.70969096473097,0.5766095669915405,False
2025,Mai,527,245,245,0,269,13,Engelsk fiksjon,2025-05-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,5,347.6,86.07148192055253,-1.1920324561706046,False
2025,Juni,269,252,252,0,12,5,Engelsk fiksjon,2025-06-01,10,120,354,2025-06-07,2025-07-18,Forlagssentralen,5,Middels,500,210,300,Lav,20,6,341.4,176.28613104836126,-0.5071300814666727,False
2025,Juli,366,439,358,81,0,8,Engelsk fiksjon,2025-07-01,10,120,431,2025-07-10,2025-08-26,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,7,455.4,66.30837051232672,-0.24732925682363466,False
2025,August,431,479,420,59,0,11,Engelsk fiksjon,2025-08-01,10,120,396,2025-08-08,2025-09-20,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,8,345.0,86.42048368297877,1.5505583200802244,True
2025,September,396,270,270,0,117,9,Engelsk fiksjon,2025-09-01,10,120,366,2025-09-06,2025-10-25,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,9,315.6,51.983651276146425,-0.8771988669623204,False
2025,Oktober,483,195,195,0,276,12,Engelsk fiksjon,2025-10-01,10,120,0,,,,5,Middels,500,210,300,Lav,20,10,292.8,87.15618165110264,-1.1221235045783204,False
2025,November,276,287,269,18,0,7,Engelsk fiksjon,2025-11-01,10,120,336,2025-11-10,2025-12-21,Forlagssentralen,5,Middels,500,210,300,Lav,20,11,302.6,75.27482979057476,-0.20724058816740515,False
2025,Desember,336,382,327,55,0,9,Engelsk fiksjon,2025-12-01,10,120,359,2025-12-01,2025-13-25,Ekstern leverandør,8,Lav,1200,135,600,Middels,120,12,418.6,70.66682389919615,-0.5179233759282672,False
2021,Januar,500,293,293,0,204,3,Norsk krim,2021-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,1,296.8,28.172681803477637,-0.13488243776390998,False
2021,Februar,578,276,276,0,298,4,Norsk krim,2021-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,2,300.4,23.554192832699663,-1.035908985432356,False
2021,Mars,298,280,280,0,16,2,Norsk krim,2021-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,3,334.6,44.33170423071958,-1.2316242054634354,False
2021,April,404,324,324,0,78,2,Norsk krim,2021-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,4,350.8,20.43771024356691,-1.3113014951582322,False
2021,Mai,553,326,326,0,224,3,Norsk krim,2021-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,5,360.4,35.175275407592764,-0.9779596492533662,False
2021,Juni,707,386,386,0,317,4,Norsk krim,2021-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,6,372.4,35.45842636102172,0.3835477598901584,False
2021,Juli,317,439,315,124,0,2,Norsk krim,2021-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,7,464.2,40.12106678541836,-0.6280989519739965,False
2021,August,366,427,364,63,0,2,Norsk krim,2021-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,8,444.8,31.09983922788026,-0.5723502256578464,False
2021,September,396,342,342,0,51,3,Norsk krim,2021-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,9,366.6,35.35958144548659,-0.6957095925449662,False
2021,Oktober,498,342,342,0,153,3,Norsk krim,2021-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,10,375.6,33.634803403617504,-0.9989652562198792,False
2021,November,604,341,341,0,260,3,Norsk krim,2021-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,11,329.2,27.105350025410118,0.43533841064358186,False
2021,Desember,760,471,471,0,285,4,Norsk krim,2021-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,12,476.4,35.03284173457815,-0.15414107827484813,False
2022,Januar,285,254,254,0,30,1,Norsk krim,2022-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,1,296.8,28.172681803477637,-1.5192021937619293,False
2022,Februar,417,303,303,0,111,3,Norsk krim,2022-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,2,300.4,23.554192832699663,0.11038374434935047,False
2022,Mars,473,303,303,0,167,3,Norsk krim,2022-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,3,334.6,44.33170423071958,-0.7128081482169335,False
2022,April,690,338,338,0,348,4,Norsk krim,2022-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,4,350.8,20.43771024356691,-0.6262932514188575,False
2022,Mai,348,340,340,0,6,2,Norsk krim,2022-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,5,360.4,35.175275407592764,-0.5799528152549029,False
2022,Juni,500,331,331,0,166,3,Norsk krim,2022-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,6,372.4,35.45842636102172,-1.167564504371509,False
2022,Juli,553,437,437,0,113,3,Norsk krim,2022-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,7,464.2,40.12106678541836,-0.6779480751465359,False
2022,August,543,455,455,0,85,3,Norsk krim,2022-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,8,444.8,31.09983922788026,0.3279759720061811,False
2022,September,529,331,331,0,195,3,Norsk krim,2022-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,9,366.6,35.35958144548659,-1.0067992477479997,False
2022,Oktober,634,363,363,0,268,3,Norsk krim,2022-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,10,375.6,33.634803403617504,-0.3746119710824551,False
2022,November,645,313,313,0,328,4,Norsk krim,2022-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,11,329.2,27.105350025410118,-0.59766798749373,False
2022,Desember,328,442,326,116,0,2,Norsk krim,2022-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,12,476.4,35.03284173457815,-0.9819357578990361,False
2023,Januar,443,306,306,0,134,3,Norsk krim,2023-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,1,296.8,28.172681803477637,0.32655748090209646,False
2023,Februar,619,281,281,0,335,3,Norsk krim,2023-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,2,300.4,23.554192832699663,-0.8236325539912992,False
2023,Mars,335,333,333,0,0,2,Norsk krim,2023-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,3,334.6,44.33170423071958,-0.03609155180845282,False
2023,April,396,352,352,0,42,2,Norsk krim,2023-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,4,350.8,20.43771024356691,0.05871499232051729,False
2023,Mai,544,351,351,0,190,3,Norsk krim,2023-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,5,360.4,35.175275407592764,-0.2672331599703961,False
2023,Juni,634,388,388,0,242,4,Norsk krim,2023-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,6,372.4,35.45842636102172,0.43995184222694633,False
2023,Juli,649,516,516,0,129,4,Norsk krim,2023-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,7,464.2,40.12106678541836,1.2910922901687714,False
2023,August,521,403,403,0,115,3,Norsk krim,2023-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,8,444.8,31.09983922788026,-1.3440583950841558,False
2023,September,593,407,407,0,183,3,Norsk krim,2023-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,9,366.6,35.35958144548659,1.1425474609275037,False
2023,Oktober,616,350,350,0,263,3,Norsk krim,2023-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,10,375.6,33.634803403617504,-0.7611163856913367,False
2023,November,687,338,338,0,345,4,Norsk krim,2023-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,11,329.2,27.105350025410118,0.3246591537002984,False
2023,Desember,345,444,343,101,0,2,Norsk krim,2023-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,12,476.4,35.03284173457815,-0.9248464696490921,False
2024,Januar,464,299,299,0,163,2,Norsk krim,2024-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,1,296.8,28.172681803477637,0.07808983238963145,False
2024,Februar,616,307,307,0,306,3,Norsk krim,2024-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,2,300.4,23.554192832699663,0.28020488950219585,False
2024,Mars,306,375,304,71,0,2,Norsk krim,2024-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,3,334.6,44.33170423071958,0.9113116831634201,False
2024,April,500,375,375,0,122,3,Norsk krim,2024-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,4,350.8,20.43771024356691,1.1840856784637759,False
2024,Mai,557,368,368,0,186,3,Norsk krim,2024-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,5,360.4,35.175275407592764,0.21606085274202355,False
2024,Juni,673,341,341,0,328,4,Norsk krim,2024-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,6,372.4,35.45842636102172,-0.8855440926875695,False
2024,Juli,328,499,326,173,0,2,Norsk krim,2024-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,7,464.2,40.12106678541836,0.8673747432021862,False
2024,August,501,454,454,0,44,3,Norsk krim,2024-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,8,444.8,31.09983922788026,0.29582146494675154,False
2024,September,411,351,351,0,58,2,Norsk krim,2024-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,9,366.6,35.35958144548659,-0.4411816928333934,False
2024,Oktober,502,410,410,0,89,3,Norsk krim,2024-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,10,375.6,33.634803403617504,1.022750143272732,False
2024,November,483,292,292,0,188,3,Norsk krim,2024-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,11,329.2,27.105350025410118,-1.372422786096714,False
2024,Desember,652,517,517,0,131,4,Norsk krim,2024-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,12,476.4,35.03284173457815,1.1589125514738639,False
2025,Januar,510,332,332,0,175,3,Norsk krim,2025-01-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,1,296.8,28.172681803477637,1.2494373182341092,False
2025,Februar,525,335,335,0,187,3,Norsk krim,2025-02-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,2,300.4,23.554192832699663,1.4689529055721136,False
2025,Mars,587,382,382,0,201,4,Norsk krim,2025-03-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,3,334.6,44.33170423071958,1.069212222325399,False
2025,April,584,365,365,0,216,3,Norsk krim,2025-04-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,4,350.8,20.43771024356691,0.6947940757927938,False
2025,Mai,577,417,417,0,156,4,Norsk krim,2025-05-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,5,360.4,35.175275407592764,1.609084771736645,True
2025,Juni,534,416,416,0,115,3,Norsk krim,2025-06-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,6,372.4,35.45842636102172,1.229608994941977,False
2025,Juli,569,430,430,0,136,3,Norsk krim,2025-07-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,7,464.2,40.12106678541836,-0.8524200062504238,False
2025,August,590,485,485,0,102,3,Norsk krim,2025-08-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,8,444.8,31.09983922788026,1.2926111837890677,False
2025,September,551,402,402,0,146,3,Norsk krim,2025-09-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,9,366.6,35.35958144548659,1.0011430721988521,False
2025,Oktober,519,413,413,0,103,3,Norsk krim,2025-10-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,10,375.6,33.634803403617504,1.1119434697209354,False
2025,November,455,362,362,0,91,2,Norsk krim,2025-11-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,11,329.2,27.105350025410118,1.2100932092465657,False
2025,Desember,464,508,461,47,0,3,Norsk krim,2025-12-01,8,95,0,,,,3,Lav,800,185,250,Lav,15,12,476.4,35.03284173457815,0.9020107543491158,False
2021,Januar,400,227,227,0,160,13,Norske barnebøker,2021-01-01,6,75,354,2021-01-11,2021-02-24,Forlagssentralen,3,Lav,600,145,250,Lav,15,1,262.2,28.865203966021095,-1.2194613293374248,False
2021,Februar,514,187,187,0,313,14,Norske barnebøker,2021-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,2,217.0,37.32961290986019,-0.8036515158204559,False
2021,Mars,313,218,218,0,87,8,Norske barnebøker,2021-03-01,6,75,405,2021-03-12,2021-04-24,Forlagssentralen,3,Lav,600,145,250,Lav,15,3,240.6,19.994999374843704,-1.1302826059816595,False
2021,April,492,210,210,0,269,13,Norske barnebøker,2021-04-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,4,245.8,30.35127674415032,-1.1795220445512178,False
2021,Mai,269,277,262,15,0,7,Norske barnebøker,2021-05-01,6,75,369,2021-05-05,2021-06-24,Forlagssentralen,3,Lav,600,145,250,Lav,15,5,281.0,15.182226450688972,-0.26346596877551376,False
2021,Juni,369,314,314,0,44,11,Norske barnebøker,2021-06-01,6,75,293,2021-06-07,2021-07-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,6,280.8,21.19433886678233,1.566456033787117,True
2021,Juli,337,376,328,48,0,9,Norske barnebøker,2021-07-01,6,75,303,2021-07-08,2021-08-24,Forlagssentralen,3,Lav,600,145,250,Lav,15,7,344.4,24.04786892845185,1.3140457515806312,False
2021,August,303,331,294,37,0,9,Norske barnebøker,2021-08-01,6,75,281,2021-08-02,2021-09-27,Forlagssentralen,3,Lav,600,145,250,Lav,15,8,342.8,11.519548602267365,-1.024345693344047,False
2021,September,281,311,272,39,0,9,Norske barnebøker,2021-09-01,6,75,357,2021-09-07,2021-10-18,Forlagssentralen,3,Lav,600,145,250,Lav,15,9,291.4,26.557484820667796,0.7380216964200895,False
2021,Oktober,357,248,248,0,100,9,Norske barnebøker,2021-10-01,6,75,406,2021-10-13,2021-11-16,Forlagssentralen,3,Lav,600,145,250,Lav,15,10,301.4,42.547620379993056,-1.2550643143631595,False
2021,November,506,270,270,0,222,14,Norske barnebøker,2021-11-01,6,75,330,2021-11-09,2021-12-22,Forlagssentralen,3,Lav,600,145,250,Lav,15,11,257.8,18.471599822430107,0.6604733816929869,False
2021,Desember,552,357,357,0,177,18,Norske barnebøker,2021-12-01,6,75,302,2021-12-15,2021-13-19,Forlagssentralen,3,Lav,600,145,250,Lav,15,12,382.8,21.05231578710523,-1.2255183829136171,False
2022,Januar,479,291,291,0,173,15,Norske barnebøker,2022-01-01,6,75,283,2022-01-12,2022-02-21,Forlagssentralen,3,Lav,600,145,250,Lav,15,1,262.2,28.865203966021095,0.9977410876397118,False
2022,Februar,456,169,169,0,273,14,Norske barnebøker,2022-02-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,2,217.0,37.32961290986019,-1.2858424253127294,False
2022,Mars,273,220,220,0,45,8,Norske barnebøker,2022-03-01,6,75,317,2022-03-13,2022-04-27,Forlagssentralen,3,Lav,600,145,250,Lav,15,3,240.6,19.994999374843704,-1.0302575966027516,False
2022,April,362,292,292,0,61,9,Norske barnebøker,2022-04-01,6,75,400,2022-04-04,2022-05-19,Forlagssentralen,3,Lav,600,145,250,Lav,15,4,245.8,30.35127674415032,1.52217649324766,True
2022,Mai,461,297,297,0,151,13,Norske barnebøker,2022-05-01,6,75,311,2022-05-11,2022-06-19,Forlagssentralen,3,Lav,600,145,250,Lav,15,5,281.0,15.182226450688972,1.053863875102055,False
2022,Juni,462,271,271,0,178,13,Norske barnebøker,2022-06-01,6,75,401,2022-06-13,2022-07-20,Forlagssentralen,3,Lav,600,145,250,Lav,15,6,280.8,21.19433886678233,-0.4623876244311376,False
2022,Juli,579,336,336,0,226,17,Norske barnebøker,2022-07-01,6,75,0,,,,3,Lav,600,145,250,Lav,15,7,344.4,24.04786892845185,-0.349303301053078,False
